# Created by Octave 2.1.53, Thu Oct 06 11:32:30 2005 JST <tkurita@IGAGURI.local>
#F[MHz]	F [Hz]	A2[V]	PM2[V]
# name: A2_PM2
# type: matrix
# rows: 32
# columns: 4
 0.90005830 900058.30 2.720 1.392
 1.00006171 1000061.71 2.811 1.242
 1.10005415 1100054.15 2.899 1.109
 1.20008573 1200085.73 2.946 1.003
 1.30002664 1300026.64 2.940 0.910
 1.40001473 1400014.73 2.956 0.830
 1.50000774 1500007.74 2.914 0.760
 1.60005093 1600050.93 2.949 0.717
 1.70001305 1700013.05 2.897 0.666
 1.80002458 1800024.58 2.821 0.612
 1.90003938 1900039.38 2.736 0.567
 2.00001113 2000011.13 2.657 0.526
 2.10006261 2100062.61 2.565 0.481
 2.20005935 2200059.35 2.363 0.435
 2.30003586 2300035.86 2.251 0.386
 2.40002369 2400023.69 2.109 0.331
 2.50005117 2500051.17 2.024 0.275
 2.60006255 2600062.55 1.981 0.216
 2.70000199 2700001.99 1.996 0.158
 2.80005076 2800050.76 2.068 0.113
 2.90006695 2900066.95 2.132 0.064
 3.00006657 3000066.57 2.263 0.022
 3.10006196 3100061.96 2.408 -0.010
 3.20006167 3200061.67 2.544 -0.037
 3.30007035 3300070.35 2.689 -0.057
 3.40001558 3400015.58 2.825 -0.071
 3.50004139 3500041.39 2.901 -0.079
 3.60006628 3600066.28 2.939 -0.082
 3.70000904 3700009.04 2.932 -0.085
 3.80006372 3800063.72 2.966 -0.090
 3.90000142 3900001.42 3.027 -0.091
 4.00000116 4000001.16 3.129 -0.085
